"Season" "Team" "Player" "Position" "Matches" "Goals"
"5515" "2011-12" "Osasuna" "Enrique Sola Clemente" "Forward" 3 0
"5516" "2011-12" "Osasuna" "Raoul Cedric LoÇ" "Midfielder" 4 0
"5523" "2011-12" "Mallorca" "Pablo Cendr¢s L¢pez" "Midfielder" 18 0
"5524" "2011-12" "Mallorca" "Pablo C†ceres Rodr°guez" "Midfielder" 22 0
"5525" "2011-12" "Mallorca" "Iv†n Ramis Barrios" "Defender" 31 2
"5526" "2011-12" "Mallorca" "JosÇ Manuel Flores Moreno" "Defender" 30 0
"5527" "2011-12" "Mallorca" "Gonzalo Castro Irizabal" "Midfielder" 19 6
"5528" "2011-12" "Mallorca" "Tom†s Pina Isla" "Midfielder" 14 1
"5529" "2011-12" "Mallorca" "Josep Llu°s Mart° Soler" "Midfielder" 20 1
"5530" "2011-12" "Mallorca" "Fernando Dami†n Tissone" "Midfielder" 12 0
"5531" "2011-12" "Mallorca" "V°ctor Manuel Casades£s Casta§o" "Forward" 19 9
"5532" "2011-12" "Mallorca" "Michael Pereira" "Forward" 19 3
"5533" "2011-12" "Mallorca" "Emilio Nsue L¢pez" "Forward" 14 3
"5534" "2011-12" "Mallorca" "Tomer Hemed" "Forward" 5 7
"5535" "2011-12" "Mallorca" "Alejandro Alfaro Ligero" "Forward" 1 2
"5536" "2011-12" "Mallorca" "Pedro Bigas Rigo" "Defender" 8 0
"5537" "2011-12" "Mallorca" "JosÇ Carlos De Araujo Nunes" "Defender" 10 2
"5538" "2011-12" "Mallorca" "Sergio Tejera Rodr°guez" "Forward" 1 0
"5539" "2011-12" "Mallorca" "µlvaro GimÇnez Candela" "Forward" 2 2
"5540" "2011-12" "Mallorca" "Jo∆o Victor De Albuquerque Bruno" "Midfielder" 4 0
"5541" "2011-12" "Mallorca" "Gianni Michel Eugene Zuiverloon" "Defender" 5 0
"5542" "2011-12" "Mallorca" "Mart° Cresp° Pascual" "Defender" 4 0
"5548" "2011-12" "Sevilla" "Jorge And£jar Moreno" "Midfielder" 21 0
"5549" "2011-12" "Sevilla" "Fernando Navarro Corbacho" "Midfielder" 30 0
"5550" "2011-12" "Sevilla" "Federico Juli†n Fazio" "Defender" 23 2
"5551" "2011-12" "Sevilla" "Julien EscudÇ" "Defender" 22 1
"5552" "2011-12" "Sevilla" "Gary Alexis Medel Soto" "Midfielder" 24 2
"5553" "2011-12" "Sevilla" "Piotr Trochowski" "Midfielder" 10 1
"5554" "2011-12" "Sevilla" "Ivan Rakitic" "Midfielder" 7 0
"5555" "2011-12" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 37 5
"5556" "2011-12" "Sevilla" "µlvaro Negredo S†nchez" "Forward" 14 14
"5557" "2011-12" "Sevilla" "Manuel Del Moral Fern†ndez" "Forward" 12 10
"5558" "2011-12" "Sevilla" "Emir Spahic" "Defender" 20 0
"5559" "2011-12" "Sevilla" "Frederic KanoutÇ" "Forward" 6 4
"5560" "2011-12" "Sevilla" "Diego Perotti" "Midfielder" 5 0
"5561" "2011-12" "Sevilla" "JosÇ Mart°n C†ceres Silva" "Defender" 12 1
"5562" "2011-12" "Sevilla" "Antonio Manuel Luna Rodr°guez" "Defender" 7 1
"5564" "2011-12" "Sevilla" "Juan Torres Ruiz" "Defender" 5 1
"5565" "2011-12" "Sevilla" "Papa Babacar Diawara" "Forward" 1 3
"5571" "2011-12" "Athletic Club" "Andoni Iraola Sagarna" "Midfielder" 30 1
"5572" "2011-12" "Athletic Club" "Jon Aurtenetxe Borde" "Midfielder" 23 1
"5573" "2011-12" "Athletic Club" "Fernando Gabriel Amorebieta Mardaras" "Defender" 21 3
"5574" "2011-12" "Athletic Club" "Markel Susaeta Laskurain" "Midfielder" 22 6
"5575" "2011-12" "Athletic Club" "Ander Iturraspe Derteano" "Midfielder" 25 1
"5576" "2011-12" "Athletic Club" "Javier Mart°nez Aginaga" "Midfielder" 25 4
"5577" "2011-12" "Athletic Club" "Ander Herrera AgÅera" "Midfielder" 12 1
"5578" "2011-12" "Athletic Club" "‡scar De Marcos Arana" "Forward" 29 4
"5579" "2011-12" "Athletic Club" "Iker Muniain Go§i" "Forward" 19 2
"5580" "2011-12" "Athletic Club" "Fernando Javier Llorente Torres" "Forward" 13 17
"5581" "2011-12" "Athletic Club" "Gaizka Toquero Pinedo" "Forward" 6 4
"5582" "2011-12" "Athletic Club" "Mikel San JosÇ Dom°nguez" "Defender" 14 2
"5583" "2011-12" "Athletic Club" "I§igo PÇrez Soto" "Midfielder" 3 0
"5584" "2011-12" "Athletic Club" "Borja Ekiza Imaz" "Defender" 10 0
"5585" "2011-12" "Athletic Club" "Ibai G¢mez PÇrez" "Forward" 5 0
"5586" "2011-12" "Athletic Club" "Igor Gabilondo Del Campo" "Midfielder" 2 2
"5587" "2011-12" "Athletic Club" "David L¢pez Moreno" "Midfielder" 1 1
"5588" "2011-12" "Athletic Club" "Carlos Gurpegui Nausia" "Midfielder" 4 0
"5591" "2011-12" "Getafe" "Juan Valera Esp°n" "Midfielder" 28 1
"5592" "2011-12" "Getafe" "JosÇ Manuel JimÇnez Ortiz" "Midfielder" 17 0
"5593" "2011-12" "Getafe" "Daniel Alberto D°az" "Defender" 36 0
"5594" "2011-12" "Getafe" "Miguel Torres G¢mez" "Midfielder" 15 1
"5595" "2011-12" "Getafe" "Mehdi Gregory Giuseppe Lacen" "Midfielder" 23 1
"5596" "2011-12" "Getafe" "Abdelaziz Barrada" "Midfielder" 14 4
"5597" "2011-12" "Getafe" "Francisco Javier Casquero Paredes" "Midfielder" 7 1
"5598" "2011-12" "Getafe" "Miguel Marcos Madera" "Midfielder" 13 1
"5599" "2011-12" "Getafe" "Nicol†s Ladislao Fedor Flores" "Forward" 20 12
"5600" "2011-12" "Getafe" "Diego Castro JimÇnez" "Forward" 16 7
"5601" "2011-12" "Getafe" "Daniel Gonz†lez GÅiza" "Forward" 7 4
"5602" "2011-12" "Getafe" "Pedro R°os Maestre" "Forward" 4 2
"5603" "2011-12" "Getafe" "Pablo Sarabia Garc°a" "Midfielder" 2 0
"5604" "2011-12" "Getafe" "Jaime Gavil†n Mart°nez" "Midfielder" 3 1
"5605" "2011-12" "Getafe" "Alberto Lopo Garc°a" "Defender" 11 0
"5606" "2011-12" "Getafe" "Juan Antonio Rodr°guez Villamuela" "Midfielder" 8 0
"5607" "2011-12" "Getafe" "Peter Tsepo Masilela" "Midfielder" 9 0
"5608" "2011-12" "Getafe" "Rafael L¢pez G¢mez" "Defender" 7 0
"5610" "2011-12" "Getafe" "RubÇn Salvador PÇrez Del M†rmol" "Midfielder" 6 0
"5611" "2011-12" "Getafe" "µlvaro Arroyo Mart°nez" "Midfielder" 2 0
"5613" "2011-12" "Getafe" "Alejandro PÇrez Navarro" "Defender" 1 0
"5616" "2011-12" "Real Sociedad" "I§igo Mart°nez Berridi" "Defender" 23 3
"5617" "2011-12" "Real Sociedad" "Alberto De la Bella Madue§o" "Midfielder" 20 0
"5618" "2011-12" "Real Sociedad" "Mikel Gonz†lez De Mart°n" "Defender" 23 1
"5619" "2011-12" "Real Sociedad" "David Zurutuza Veillet" "Midfielder" 18 3
"5620" "2011-12" "Real Sociedad" "Antoine Griezmann" "Midfielder" 21 7
"5621" "2011-12" "Real Sociedad" "Mikel Aranburu Eizaguirre" "Midfielder" 14 2
"5622" "2011-12" "Real Sociedad" "Xabier Prieto Argarate" "Midfielder" 19 2
"5623" "2011-12" "Real Sociedad" "Daniel Estrada Aguirrezabalaga" "Midfielder" 19 2
"5624" "2011-12" "Real Sociedad" "Carlos Alberto Vela Garrido" "Forward" 13 12
"5625" "2011-12" "Real Sociedad" "Imanol Agirretxe Arruti" "Forward" 7 10
"5626" "2011-12" "Real Sociedad" "Vadim Sergeievich Demidov" "Defender" 18 0
"5627" "2011-12" "Real Sociedad" "Carlos Mart°nez D°ez" "Midfielder" 16 0
"5628" "2011-12" "Real Sociedad" "Asier Illarramendi Andonegi" "Midfielder" 9 0
"5629" "2011-12" "Real Sociedad" "Liassine Cadamuro-Betaiba" "Defender" 10 0
"5630" "2011-12" "Real Sociedad" "Gorka Elustondo Urkola" "Midfielder" 12 1
"5631" "2011-12" "Real Sociedad" "McDonald Mariga Wanyama" "Midfielder" 7 0
"5632" "2011-12" "Real Sociedad" "Diego Ifr†n Sala" "Forward" 1 1
"5633" "2011-12" "Real Sociedad" "Markel Bergara Larra§aga" "Midfielder" 5 0
"5634" "2011-12" "Real Sociedad" "Joseba Llorente Etxarri" "Forward" 1 0
"5635" "2011-12" "Real Sociedad" "Ion Ansotegi Gorostola" "Defender" 8 0
"5638" "2011-12" "Betis" "Paulo Afonso Santos J£nior" "Defender" 16 0
"5639" "2011-12" "Betis" "JosÇ Antonio Dorado Ram°rez" "Midfielder" 31 1
"5640" "2011-12" "Betis" "Ignacio PÇrez Santamaria" "Midfielder" 36 1
"5641" "2011-12" "Betis" "Be§at Etxebarr°a Urkiaga" "Midfielder" 18 6
"5642" "2011-12" "Betis" "Iriney Santos Da Silva" "Midfielder" 23 0
"5643" "2011-12" "Betis" "Jefferson Antonio Montero Vite" "Midfielder" 6 1
"5644" "2011-12" "Betis" "JosÇ Alberto Ca§as Ruiz-Herrera" "Midfielder" 16 0
"5645" "2011-12" "Betis" "RubÇn Castro Mart°n" "Forward" 29 16
"5646" "2011-12" "Betis" "Roque Luis Santa Cruz Cantero" "Forward" 11 7
"5647" "2011-12" "Betis" "Salvador Sevilla L¢pez" "Forward" 3 2
"5648" "2011-12" "Betis" "Jonathan Pereira Rodr°guez" "Forward" 5 4
"5649" "2011-12" "Betis" "Jorge Molina Vidal" "Forward" 4 6
"5650" "2011-12" "Betis" "Francisco Javier Chica Torres" "Midfielder" 11 0
"5651" "2011-12" "Betis" "Alejandro Pozuelo Melero" "Forward" 4 2
"5652" "2011-12" "Betis" "NÇlson Augusto Tomar Marcos" "Defender" 13 1
"5653" "2011-12" "Betis" "Juan Manuel G¢mez S†nchez" "Midfielder" 4 0
"5654" "2011-12" "Betis" "Pedro Mario µlvarez Abrante" "Defender" 7 0
"5655" "2011-12" "Betis" "Antonio Amaya Carazo" "Defender" 9 0
"5656" "2011-12" "Betis" "JosÇ Isidoro G¢mez Torres" "Midfielder" 9 0
"5658" "2011-12" "Betis" "Ustaritz Aldekoaotalora Astarloa" "Defender" 5 0
"5660" "2011-12" "Betis" "Alejandro Mart°nez S†nchez" "Midfielder" 1 0
"5666" "2011-12" "Espanyol" "D°dac VilÖ Rosell¢" "Defender" 37 2
"5667" "2011-12" "Espanyol" "HÇctor Alfredo Moreno Herrera" "Defender" 35 3
"5668" "2011-12" "Espanyol" "Ra£l Rodr°guez Navarro" "Defender" 26 0
"5669" "2011-12" "Espanyol" "Juan Daniel Forl°n" "Defender" 18 0
"5670" "2011-12" "Espanyol" "Joan Verd£ Fern†ndez" "Midfielder" 32 5
"5671" "2011-12" "Espanyol" "Javier L¢pez Rodr°guez" "Midfielder" 21 1
"5672" "2011-12" "Espanyol" "JosÇ Ra£l Baena Urdiales" "Midfielder" 18 1
"5673" "2011-12" "Espanyol" "Koffi Christian Ndri" "Midfielder" 10 3
"5674" "2011-12" "Espanyol" "Sergio Garc°a De la Fuente" "Forward" 13 5
"5675" "2011-12" "Espanyol" "µlvaro V†zquez Garcia" "Forward" 3 5
"5676" "2011-12" "Espanyol" "Vladimir Weiss" "Midfielder" 10 2
"5677" "2011-12" "Espanyol" "Cristian G¢mez Garc°a" "Midfielder" 2 1
"5678" "2011-12" "Espanyol" "Thievy Guivane Bifouma Koulossa" "Forward" 5 1
"5679" "2011-12" "Espanyol" "Philippe Coutinho Correia" "Midfielder" 7 5
"5680" "2011-12" "Espanyol" "Rui Pedro da Rocha Fonte" "Forward" 1 1
"5681" "2011-12" "Espanyol" "Kalu Tongololiki Mawakavamba Jawarapawara Uche" "Forward" 3 6
"5682" "2011-12" "Espanyol" "Ernesto Gal†n ÷§igo" "Midfielder" 9 0
"5683" "2011-12" "Espanyol" "Jordi Amat Maas" "Defender" 6 0
"5685" "2011-12" "Espanyol" "Javier M†rquez Moreno" "Midfielder" 1 0
"5686" "2011-12" "Espanyol" "V°ctor S†nchez Mata" "Midfielder" 4 0
"5688" "2011-12" "Espanyol" "Jes£s Alberto D†tolo" "Midfielder" 1 0
"5692" "2011-12" "Rayo Vallecano" "Roberto Rom†n Triguero" "Midfielder" 33 1
"5693" "2011-12" "Rayo Vallecano" "JosÇ Manuel Casado Bizcocho" "Midfielder" 28 0
"5694" "2011-12" "Rayo Vallecano" "Jordi Figueras Montel" "Defender" 17 0
"5695" "2011-12" "Rayo Vallecano" "Alejandro Arribas Garrido" "Defender" 31 1
"5696" "2011-12" "Rayo Vallecano" "Miguel PÇrez Cuesta" "Midfielder" 34 15
"5697" "2011-12" "Rayo Vallecano" "JosÇ Mar°a Movilla Cubero" "Midfielder" 15 2
"5698" "2011-12" "Rayo Vallecano" "Javier Fuego Mart°nez" "Midfielder" 29 0
"5699" "2011-12" "Rayo Vallecano" "Roberto Trashorras Gayoso" "Midfielder" 11 2
"5700" "2011-12" "Rayo Vallecano" "Francisco Medina Luna" "Forward" 10 3
"5701" "2011-12" "Rayo Vallecano" "Ra£l Tamudo Montero" "Forward" 7 9
"5702" "2011-12" "Rayo Vallecano" "Alhassane Bangoura" "Forward" 6 3
"5703" "2011-12" "Rayo Vallecano" "Mikel Labaka Zurriarain" "Defender" 8 1
"5704" "2011-12" "Rayo Vallecano" "Andrija Delibasic" "Forward" 1 1
"5707" "2011-12" "Rayo Vallecano" "Ra£l Bravo SanfÇlix" "Midfielder" 2 0
"5708" "2011-12" "Rayo Vallecano" "Pape Maly Diamanka" "Midfielder" 1 0
"5717" "2011-12" "Real Zaragoza" "Paulo CÇsar Da Silva Barrios" "Defender" 25 1
"5718" "2011-12" "Real Zaragoza" "Javier Paredes Arango" "Midfielder" 28 0
"5719" "2011-12" "Real Zaragoza" "Maurizio Lanzaro" "Defender" 15 1
"5720" "2011-12" "Real Zaragoza" "Abraham Minero Fern†ndez" "Defender" 12 1
"5721" "2011-12" "Real Zaragoza" "µngel Lafita Castillo" "Midfielder" 17 3
"5722" "2011-12" "Real Zaragoza" "RubÇn Micael Freitas Da Ressureiáao" "Midfielder" 10 0
"5723" "2011-12" "Real Zaragoza" "Leonardo Daniel Ponzio" "Midfielder" 14 1
"5724" "2011-12" "Real Zaragoza" "HÇlder Manuel Marques Postiga" "Forward" 23 9
"5725" "2011-12" "Real Zaragoza" "Eduard Oriol Gracia" "Forward" 1 2
"5726" "2011-12" "Real Zaragoza" "Franco Zuculini" "Midfielder" 3 0
"5727" "2011-12" "Real Zaragoza" "Juan Carlos PÇrez L¢pez" "Midfielder" 4 3
"5728" "2011-12" "Real Zaragoza" "Pablo Edson Barrera Acosta" "Midfielder" 5 1
"5729" "2011-12" "Real Zaragoza" "Adam Josef Pinter" "Defender" 12 0
"5730" "2011-12" "Real Zaragoza" "Ivan Obradovic" "Defender" 10 0
"5731" "2011-12" "Real Zaragoza" "Efra°n Ju†rez Valdez" "Defender" 13 1
"5732" "2011-12" "Real Zaragoza" "Pablo Sebasti†n µlvarez Valeira" "Defender" 14 0
"5733" "2011-12" "Real Zaragoza" "David Mateos Ramajo" "Defender" 9 0
"5734" "2011-12" "Real Zaragoza" "Fernando JosÇ Da Silva Freitas Meira" "Defender" 9 0
"5735" "2011-12" "Real Zaragoza" "Tomislav Dujmovic" "Midfielder" 4 1
"5740" "2011-12" "Granada" "Guilherme Madalena Siqueira" "Defender" 30 6
"5741" "2011-12" "Granada" "Allan Romeo Nyom" "Defender" 29 0
"5742" "2011-12" "Granada" "I§igo L¢pez Monta§a" "Defender" 25 4
"5743" "2011-12" "Granada" "Borja G¢mez PÇrez" "Defender" 19 0
"5744" "2011-12" "Granada" "Mikel Rico Moreno" "Midfielder" 32 3
"5745" "2011-12" "Granada" "Daniel Gonz†lez Ben°tez" "Midfielder" 16 0
"5746" "2011-12" "Granada" "Carlos Jorge Neto Martins" "Midfielder" 6 3
"5747" "2011-12" "Granada" "Franco Daniel Jara" "Forward" 12 3
"5748" "2011-12" "Granada" "Odion Jude Ighalo" "Forward" 5 6
"5749" "2011-12" "Granada" "Abel G¢mez Moreno" "Midfielder" 6 1
"5750" "2011-12" "Granada" "Diego Mainz Garc°a" "Defender" 19 1
"5751" "2011-12" "Granada" "Alexandre Geijo Pazos" "Forward" 8 2
"5752" "2011-12" "Granada" "MoisÇs Hurtado PÇrez" "Midfielder" 8 0
"5753" "2011-12" "Granada" "Francisco Manuel Rico Castro" "Midfielder" 10 2
"5754" "2011-12" "Granada" "Hassan Yebda" "Midfielder" 7 0
"5755" "2011-12" "Granada" "Jaime Romero G¢mez" "Midfielder" 1 1
"5756" "2011-12" "Granada" "Pape Malickou DiakhatÇ" "Defender" 10 0
"5757" "2011-12" "Granada" "David CortÇs Caballero" "Midfielder" 7 0
"5759" "2011-12" "Granada" "Manuel Lucena Medina" "Defender" 2 0
"5760" "2011-12" "Granada" "Henrique Almeida Caixeta Nascentes" "Forward" 1 0
"5761" "2011-12" "Granada" "NoÇ El°as Pamarot" "Defender" 1 0
"5762" "2011-12" "Villarreal" "Mario Gaspar PÇrez Mart°nez" "Midfielder" 17 1
"5763" "2011-12" "Villarreal" "Joan Oriol Gracia" "Midfielder" 19 0
"5764" "2011-12" "Villarreal" "Mateo Pablo Musacchio" "Defender" 28 0
"5765" "2011-12" "Villarreal" "Cristi†n Eduardo Zapata Valencia" "Defender" 27 0
"5766" "2011-12" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 19 1
"5767" "2011-12" "Villarreal" "Bruno Soriano Llido" "Midfielder" 37 3
"5768" "2011-12" "Villarreal" "Borja Valero Iglesias" "Midfielder" 28 5
"5769" "2011-12" "Villarreal" "RubÇn Gracia Calmache" "Midfielder" 5 0
"5770" "2011-12" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 15 5
"5771" "2011-12" "Villarreal" "Marco Gast¢n RubÇn Rodr°guez" "Forward" 17 9
"5772" "2011-12" "Villarreal" "Javier Camu§as Gallego" "Forward" 4 1
"5773" "2011-12" "Villarreal" "µngel Domingo L¢pez Ruano" "Midfielder" 10 1
"5774" "2011-12" "Villarreal" "Nilmar Honorato Da Silva" "Forward" 3 4
"5775" "2011-12" "Villarreal" "Hern†n Arsenio PÇrez Gonz†lez" "Midfielder" 3 4
"5776" "2011-12" "Villarreal" "Carlos Marchena L¢pez" "Defender" 5 0
"5777" "2011-12" "Villarreal" "JosÇ Manuel Catal† Mazuecos" "Defender" 11 0
"5779" "2011-12" "Villarreal" "Giuseppe Rossi" "Forward" 7 3
"5780" "2011-12" "Villarreal" "JosÇ Luis Moreno Barroso" "Midfielder" 1 0
"5781" "2011-12" "Villarreal" "Jaume Vicent Costa Jord†" "Midfielder" 6 0
"5787" "2011-12" "Sporting de Gij¢n" "Alberto Lora Ramos" "Midfielder" 21 3
"5788" "2011-12" "Sporting de Gij¢n" "Roberto Canella Su†rez" "Midfielder" 27 0
"5789" "2011-12" "Sporting de Gij¢n" "Alberto Tom†s Bot°a Rabasco" "Defender" 29 1
"5790" "2011-12" "Sporting de Gij¢n" "Iv†n Hern†ndez Soto" "Defender" 18 0
"5791" "2011-12" "Sporting de Gij¢n" "Miguel µngel De las Cuevas Barber†" "Midfielder" 23 3
"5792" "2011-12" "Sporting de Gij¢n" "AndrÇ Castro Pereira" "Midfielder" 15 2
"5793" "2011-12" "Sporting de Gij¢n" "Alberto Rivera Pizarro" "Midfielder" 12 0
"5794" "2011-12" "Sporting de Gij¢n" "‡scar Guido Trejo" "Forward" 13 4
"5795" "2011-12" "Sporting de Gij¢n" "David Barral Torres" "Forward" 15 9
"5796" "2011-12" "Sporting de Gij¢n" "Gregory Arnolin" "Defender" 17 0
"5797" "2011-12" "Sporting de Gij¢n" "Dami†n Nicol†s Su†rez Su†rez" "Defender" 13 0
"5798" "2011-12" "Sporting de Gij¢n" "Ignacio Cases Mora" "Midfielder" 11 0
"5799" "2011-12" "Sporting de Gij¢n" "Sebasti†n Eguren Ledesma" "Midfielder" 7 2
"5800" "2011-12" "Sporting de Gij¢n" "Alejandro G†lvez Jimena" "Midfielder" 10 2
"5801" "2011-12" "Sporting de Gij¢n" "Gast¢n Maximiliano Sangoy" "Forward" 4 4
"5802" "2011-12" "Sporting de Gij¢n" "Ayoze Garc°a PÇrez" "Midfielder" 3 0
"5803" "2011-12" "Sporting de Gij¢n" "Pedro Orfila Artime" "Midfielder" 8 0
"5804" "2011-12" "Sporting de Gij¢n" "Mate Bilic" "Forward" 1 4
"5806" "2011-12" "Sporting de Gij¢n" "Carmelo Gonz†lez JimÇnez" "Midfielder" 1 1
"5807" "2011-12" "Sporting de Gij¢n" "Formose Mendy" "Midfielder" 3 0
"5808" "2011-12" "Sporting de Gij¢n" "Sergio µlvarez D°az" "Midfielder" 2 0
"5809" "2011-12" "Sporting de Gij¢n" "MoisÇs Garc°a Rosa" "Defender" 3 0
"5811" "2011-12" "Sporting de Gij¢n" "Ricardo Le¢n Brito" "Midfielder" 1 0
"5812" "2011-12" "Sporting de Gij¢n" "Alejandro MenÇndez D°ez" "Midfielder" 2 0
"5814" "2011-12" "Racing de Santander" "Francisco Jes£s PÇrez Malia" "Midfielder" 20 0
"5815" "2011-12" "Racing de Santander" "Domingo Cisma Gonz†lez" "Midfielder" 23 0
"5816" "2011-12" "Racing de Santander" "Marc Torrej¢n Moya" "Defender" 26 1
"5817" "2011-12" "Racing de Santander" "Bernardo JosÇ Espinosa Z£§iga" "Defender" 24 2
"5818" "2011-12" "Racing de Santander" "µlvaro Gonz†lez Sober¢n" "Defender" 33 1
"5819" "2011-12" "Racing de Santander" "Papakouly Diop" "Midfielder" 22 1
"5820" "2011-12" "Racing de Santander" "Adri†n Gonz†lez Morales" "Midfielder" 14 3
"5821" "2011-12" "Racing de Santander" "Manuel Jes£s Arana Rodr°guez" "Midfielder" 15 2
"5822" "2011-12" "Racing de Santander" "Christian Ricardo Stuani Curbelo" "Forward" 14 9
"5823" "2011-12" "Racing de Santander" "Pedro Munitis µlvarez" "Forward" 9 0
"5824" "2011-12" "Racing de Santander" "Jairo Samperio Bustara" "Midfielder" 5 2
"5825" "2011-12" "Racing de Santander" "Christian Fern†ndez Salas" "Midfielder" 13 1
"5826" "2011-12" "Racing de Santander" "Lautaro Germ†n Acosta" "Midfielder" 5 2
"5827" "2011-12" "Racing de Santander" "Gonzalo Colsa Albendea" "Midfielder" 10 1
"5828" "2011-12" "Racing de Santander" "Juli†n Luque Conde" "Forward" 2 0
"5829" "2011-12" "Racing de Santander" "Eduardo Bedia Pel†ez" "Midfielder" 5 0
"5830" "2011-12" "Racing de Santander" "Alexandros Tziolis" "Midfielder" 4 0
"5831" "2011-12" "Racing de Santander" "Ariel Gerardo Nahuelpan Osten" "Forward" 1 2
"5832" "2011-12" "Racing de Santander" "Osmar Barba Ib†§ez" "Defender" 4 0
"5833" "2011-12" "Racing de Santander" "Babacar El Hadji Khouma" "Forward" 1 0
"5834" "2011-12" "Racing de Santander" "Mamadou KonÇ" "Forward" 2 0
"5835" "2011-12" "Racing de Santander" "Kennedy BakircioglÅ" "Midfielder" 1 0
"5836" "2011-12" "Racing de Santander" "Enrique Rivero PÇrez" "Midfielder" 4 0
"5841" "2012-13" "Barcelona" "Daniel Alves Da Silva" "Midfielder" 21 0
"5842" "2012-13" "Barcelona" "Jordi Alba Ramos" "Midfielder" 24 2
"5843" "2012-13" "Barcelona" "Gerard PiquÇ Bernabeu" "Defender" 24 2
"5844" "2012-13" "Barcelona" "Javier Alejandro Mascherano" "Defender" 18 0
"5845" "2012-13" "Barcelona" "Francesc FÖbregas Soler" "Midfielder" 14 11
"5846" "2012-13" "Barcelona" "Sergio Busquets Burgos" "Midfielder" 21 1
"5847" "2012-13" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 15 3
"5848" "2012-13" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 17 5
"5849" "2012-13" "Barcelona" "Lionel AndrÇs Messi Cuccittini" "Forward" 27 46
"5850" "2012-13" "Barcelona" "Pedro Eliezer Rodr°guez Ledesma" "Forward" 12 7
"5851" "2012-13" "Barcelona" "Alexis Alejandro S†nchez S†nchez" "Forward" 7 8
"5852" "2012-13" "Barcelona" "David Villa S†nchez" "Forward" 5 10
"5853" "2012-13" "Barcelona" "Thiago Alc†ntara Do Nascimento" "Midfielder" 8 2
"5854" "2012-13" "Barcelona" "Adriano Correia Claro" "Midfielder" 9 5
"5855" "2012-13" "Barcelona" "Alexandre Dimitri Song Billong" "Midfielder" 15 1
"5856" "2012-13" "Barcelona" "Cristian Tello Herrera" "Forward" 7 7
"5857" "2012-13" "Barcelona" "Mart°n Montoya Torralbo" "Midfielder" 11 1
"5858" "2012-13" "Barcelona" "Carles Puyol Saforcada" "Defender" 7 1
"5859" "2012-13" "Barcelona" "Marc Bartra Aregall" "Defender" 3 0
"5860" "2012-13" "Barcelona" "êric Sylvain Abidal" "Midfielder" 1 0
"5864" "2012-13" "Real Madrid" "µlvaro Arbeloa Coca" "Midfielder" 17 0
"5865" "2012-13" "Real Madrid" "Fabio Alexandre Da Silva Coentrao" "Midfielder" 13 1
"5866" "2012-13" "Real Madrid" "KÇpler Laveran Lima Ferreira" "Defender" 25 1
"5867" "2012-13" "Real Madrid" "Sergio Ramos Garc°a" "Defender" 25 4
"5868" "2012-13" "Real Madrid" "Luka Modric" "Midfielder" 17 3
"5869" "2012-13" "Real Madrid" "Mesut ôzil" "Midfielder" 10 9
"5870" "2012-13" "Real Madrid" "Xabier Alonso Olano" "Midfielder" 19 0
"5871" "2012-13" "Real Madrid" "Cristiano Ronaldo Dos Santos Aveiro" "Forward" 25 34
"5872" "2012-13" "Real Madrid" "µngel Fabi†n Di Mar°a Hern†ndez" "Forward" 6 7
"5873" "2012-13" "Real Madrid" "Gonzalo Gerardo Higua°n" "Forward" 12 16
"5874" "2012-13" "Real Madrid" "Karim Mostafa Benzema" "Forward" 5 11
"5875" "2012-13" "Real Madrid" "JosÇ Mar°a Callej¢n Bueno" "Forward" 7 3
"5876" "2012-13" "Real Madrid" "Sami Khedira" "Midfielder" 15 3
"5877" "2012-13" "Real Madrid" "Michael Kojo Essien" "Midfielder" 17 2
"5878" "2012-13" "Real Madrid" "Ra£l Albiol Tortajada" "Defender" 13 1
"5879" "2012-13" "Real Madrid" "Ricardo Izecson Dos Santos Leite" "Midfielder" 1 3
"5880" "2012-13" "Real Madrid" "Raphaâl Varane" "Defender" 11 0
"5881" "2012-13" "Real Madrid" "Marcelo Vieira Da Silva Junior" "Midfielder" 9 0
"5882" "2012-13" "Real Madrid" "Ricardo Alberto Silveira Carvalho" "Defender" 9 0
"5883" "2012-13" "Real Madrid" "µlvaro Borja Morata Mart°n" "Forward" 2 2
"5884" "2012-13" "Real Madrid" "JosÇ Ignacio Fern†ndez Iglesias" "Defender" 5 0
"5886" "2012-13" "Real Madrid" "Carlos Henrique JosÇ Francisco Venancio Casimiro" "Midfielder" 1 0
"5891" "2012-13" "AtlÇtico de Madrid" "Juan Francisco Torres BelÇn" "Midfielder" 35 1
"5892" "2012-13" "AtlÇtico de Madrid" "Filipe Luis Kasmirski" "Midfielder" 29 1
"5893" "2012-13" "AtlÇtico de Madrid" "Diego Roberto God°n Leal" "Defender" 33 1
"5894" "2012-13" "AtlÇtico de Madrid" "Joao Miranda De Souza Filho" "Defender" 34 2
"5895" "2012-13" "AtlÇtico de Madrid" "Gabriel Fern†ndez Arenas" "Midfielder" 25 0
"5896" "2012-13" "AtlÇtico de Madrid" "Jorge Resurrecci¢n Merodio" "Midfielder" 17 3
